Worker_ID;Birth_Year;Gender;Start_Date_Employment;Job_Type;Year;Days_Sickness_Per_Year;Days_Holiday_Per_Year;Frequency_Sick(Days);Frequency_Holiday(Days);Job_Contract;Shift_Work
W0001;1986;Female;2015-08-21;Produktion;2015;24;31;5;1;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2016;7;25;4;1;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2017;13;20;3;1;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2018;18;21;1;3;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2019;23;27;2;3;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2020;11;29;4;3;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2021;7;35;1;1;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2022;7;26;3;3;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2023;19;34;2;2;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2024;2;26;3;2;Full-time;No
W0001;1986;Female;2015-08-21;Produktion;2025;0;26;3;2;Full-time;No
W0002;1986;Female;2022-10-12;Verwaltung;2022;17;28;5;3;Part-time;No
W0002;1986;Female;2022-10-12;Verwaltung;2023;16;28;4;1;Part-time;No
W0002;1986;Female;2022-10-12;Verwaltung;2024;18;25;1;1;Part-time;No
W0002;1986;Female;2022-10-12;Verwaltung;2025;14;20;0;1;Part-time;No
W0003;1972;Female;2005-09-07;Pflege;2005;19;29;1;3;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2006;27;28;0;2;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2007;12;32;3;2;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2008;24;32;4;3;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2009;24;33;2;1;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2010;16;29;3;1;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2011;16;38;3;2;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2012;7;23;2;1;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2013;7;31;3;2;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2014;17;31;3;1;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2015;9;26;3;1;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2016;-1;29;4;1;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2017;11;27;0;1;Full-time;Yes
