global_id,ifc_type,tag,name,material,volume_m3,bbox_volume_m3,density_kg_m3,weight_kg,weight_t,x_m,y_m,z_m
11Je14my97hBHYwYXU$RZN,IfcBeam,3072726,Schweißverbundträger:TRG_STA_SVT_1100 x 250:3072726,Metall - Baustahl S235,0.8567,7.5625,7850.0,6725.1,6.725,68.23,9.551,12.33
11Je14my97hBHYwYXU$RZM,IfcBeam,3072727,Schweißverbundträger:TRG_STA_SVT_1100 x 250:3072727,Metall - Baustahl S235,0.8567,7.5625,7850.0,6725.1,6.725,67.13,9.551,12.33
11Je14my97hBHYwYXU$RZR,IfcBeam,3072730,Schweißverbundträger:TRG_STA_SVT_1100 x 250:3072730,Metall - Baustahl S235,0.8567,7.5625,7850.0,6725.1,6.725,52.93,9.551,12.33
11Je14my97hBHYwYXU$RZQ,IfcBeam,3072731,Schweißverbundträger:TRG_STA_SVT_1100 x 250:3072731,Metall - Baustahl S235,0.8567,7.5625,7850.0,6725.1,6.725,51.83,9.551,12.33
11Je14my97hBHYwYXU$RZL,IfcBeam,3072724,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072724,Metall - Baustahl S235,1.4562,12.1,7850.0,11431.2,11.431,78.13,9.551,12.33
11Je14my97hBHYwYXU$RZK,IfcBeam,3072725,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072725,Metall - Baustahl S235,1.4562,12.1,7850.0,11431.2,11.431,73.18,9.551,12.33
11Je14my97hBHYwYXU$RZP,IfcBeam,3072728,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072728,Metall - Baustahl S235,1.4562,12.1,7850.0,11431.2,11.431,62.395,9.551,12.33
11Je14my97hBHYwYXU$RZO,IfcBeam,3072729,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072729,Metall - Baustahl S235,1.4562,12.1,7850.0,11431.2,11.431,57.665,9.551,12.33
11Je14my97hBHYwYXU$RZT,IfcBeam,3072732,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072732,Metall - Baustahl S235,1.4562,12.1,7850.0,11431.2,11.431,46.88,9.551,12.33
11Je14my97hBHYwYXU$RZS,IfcBeam,3072733,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072733,Metall - Baustahl S235,1.4562,12.1,7850.0,11431.2,11.431,41.93,9.551,12.33
11Je14my97hBHYwYXU$RZB,IfcBeam,3072714,Schweißverbundträger:TRG_STA_SVT_1250 x 350:3072714,Metall - Baustahl S235,1.429,12.0334,7850.0,11217.4,11.217,68.23,9.554,3.725
