global_id,ifc_type,name,x_m,y_m,z_m,x_min_m,y_min_m,z_min_m,x_max_m,y_max_m,z_max_m,length_m,width_m,height_m,material,thickness_m,load_bearing,is_external,reference
11Je14my97hBHYwYXU$Rgl,IfcWall,Basiswand:RB_W_OB_250_WU:3072174,87.066,5.158,-5.17,86.941,-0.049,-7.39,87.191,10.365,-2.95,0.25,10.414,4.44,IfcMaterialLayerSet,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rgn,IfcWall,Basiswand:RB_W_OB_250_WU:3072176,87.006,10.48,-4.52,86.821,10.355,-6.09,87.191,10.605,-2.95,0.37,0.25,3.14,IfcMaterialLayerSet,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rh5,IfcWall,Basiswand:RB_W_OB_400_WU:3072196,85.266,10.565,-6.74,83.34,10.365,-7.39,87.191,10.765,-6.09,3.851,0.4,1.3,IfcMaterialLayerSet,0.4,False,True,RB_W_OB_400_WU
11Je14my97hBHYwYXU$Rc6,IfcWall,Basiswand:RB_W_DMG_120:3072903,87.251,1.206,-3.221,87.191,-0.209,-3.81,87.311,2.621,-2.631,0.12,2.83,1.179,IfcMaterialLayerSet,0.12,False,True,RB_W_DMG_120
11Je14my97hBHYwYXU$RcD,IfcWall,Basiswand:RB_W_DMG_120:3072908,36.67,9.494,-1.016,36.61,-4.719,-1.62,36.73,23.708,-0.412,0.12,28.426,1.208,IfcMaterialLayerSet,0.12,False,True,RB_W_DMG_120
11Je14my97hBHYwYXU$RgL,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072148,93.688,1.828,-6.1,87.211,1.703,-7.94,100.164,1.953,-4.26,12.953,0.25,3.68,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$RgK,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072149,100.039,-1.753,-6.1,99.914,-5.209,-7.94,100.164,1.703,-4.26,0.25,6.912,3.68,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$RgN,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072150,94.563,-5.084,-6.1,89.212,-5.209,-7.94,99.914,-4.959,-4.26,10.702,0.25,3.68,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$RgM,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072151,89.337,-3.754,-6.1,89.212,-4.959,-7.94,89.462,-2.548,-4.26,0.25,2.411,3.68,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$RgP,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072152,88.211,-2.673,-6.1,87.211,-2.798,-7.94,89.212,-2.548,-4.26,2.0,0.25,3.68,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$RgO,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072153,87.336,-0.423,-6.1,87.211,-2.548,-7.94,87.461,1.703,-4.26,0.25,4.251,3.68,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$RgR,IfcWallStandardCase,Basiswand:RB_W_OB_200:3072154,93.688,0.222,-6.1,87.461,0.122,-7.94,99.914,0.322,-4.26,12.453,0.2,3.68,IfcMaterialLayerSetUsage,0.2,False,True,RB_W_OB_200
11Je14my97hBHYwYXU$RgT,IfcWallStandardCase,Basiswand:RB_W_OB_200:3072156,89.362,-1.153,-6.1,89.262,-2.428,-7.94,89.462,0.122,-4.26,0.2,2.551,3.68,IfcMaterialLayerSetUsage,0.2,False,True,RB_W_OB_200
11Je14my97hBHYwYXU$RgS,IfcWallStandardCase,Basiswand:RB_W_OB_200:3072157,91.562,-2.418,-6.1,91.462,-4.959,-7.94,91.662,0.122,-4.26,0.2,5.081,3.68,IfcMaterialLayerSetUsage,0.2,False,True,RB_W_OB_200
11Je14my97hBHYwYXU$RgV,IfcWallStandardCase,Basiswand:RB_W_OB_200:3072158,94.312,-1.153,-6.1,94.212,-2.428,-7.94,94.412,0.122,-4.26,0.2,2.55,3.68,IfcMaterialLayerSetUsage,0.2,False,True,RB_W_OB_200
11Je14my97hBHYwYXU$RgU,IfcWallStandardCase,Basiswand:RB_W_OB_200:3072159,96.763,-1.153,-6.1,96.663,-2.428,-7.94,96.863,0.122,-4.26,0.2,2.551,3.68,IfcMaterialLayerSetUsage,0.2,False,True,RB_W_OB_200
11Je14my97hBHYwYXU$RgX,IfcWallStandardCase,Basiswand:RB_W_OB_200:3072160,98.389,-2.528,-6.1,96.863,-2.628,-7.94,99.914,-2.428,-4.26,3.051,0.2,3.68,IfcMaterialLayerSetUsage,0.2,False,True,RB_W_OB_200
11Je14my97hBHYwYXU$RgW,IfcWallStandardCase,Basiswand:RB_W_OB_200:3072161,93.162,-2.528,-6.1,89.462,-2.628,-7.94,96.863,-2.428,-4.26,7.402,0.2,3.68,IfcMaterialLayerSetUsage,0.2,False,True,RB_W_OB_200
11Je14my97hBHYwYXU$Rgm,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072177,85.519,10.48,-4.52,85.341,10.355,-6.09,85.698,10.605,-2.95,0.358,0.25,3.14,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rgp,IfcWallStandardCase,Basiswand:RB_W_MW_KS_240:3072178,86.26,10.485,-4.52,85.698,10.365,-6.09,86.821,10.605,-2.95,1.123,0.24,3.14,IfcMaterialLayerSetUsage,0.24,False,False,RB_W_MW_KS_240
11Je14my97hBHYwYXU$Rgo,IfcWallStandardCase,Basiswand:RB_W_MW_KS_240:3072179,84.34,10.485,-3.145,83.34,10.365,-6.09,85.341,10.605,-0.2,2.001,0.24,5.89,IfcMaterialLayerSetUsage,0.24,False,False,RB_W_MW_KS_240
11Je14my97hBHYwYXU$Rgr,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072180,83.205,5.279,-4.475,83.08,0.203,-6.0,83.33,10.355,-2.95,0.25,10.152,3.05,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rgq,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072181,87.066,-0.423,-5.825,86.941,-2.548,-7.39,87.191,1.703,-4.26,0.25,4.251,3.13,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rgt,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072182,85.29,-2.673,-5.825,83.39,-2.798,-7.39,87.191,-2.548,-4.26,3.801,0.25,3.13,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rgs,IfcWallStandardCase,Basiswand:RB_W_OB_300:3072183,83.24,-1.048,-1.45,83.09,-2.798,-2.95,83.39,0.702,0.05,0.3,3.5,3.0,IfcMaterialLayerSetUsage,0.3,False,False,RB_W_OB_300
11Je14my97hBHYwYXU$Rg$,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072190,83.205,16.831,-0.85,83.08,10.355,-6.0,83.33,23.307,4.3,0.25,12.952,10.3,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rg_,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072191,75.085,23.433,-3.975,68.43,23.308,-6.0,81.74,23.558,-1.95,13.31,0.25,4.05,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rh1,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072192,60.03,23.433,-3.975,53.18,23.308,-6.0,66.88,23.558,-1.95,13.7,0.25,4.05,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rh0,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072193,44.98,23.433,-3.975,38.33,23.308,-6.0,51.63,23.558,-1.95,13.3,0.25,4.05,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rh3,IfcWallStandardCase,Basiswand:RB_W_OB_400_WU:3072194,36.78,9.754,-3.755,36.58,-4.199,-6.0,36.98,23.708,-1.51,0.4,27.906,4.49,IfcMaterialLayerSetUsage,0.4,False,True,RB_W_OB_400_WU
11Je14my97hBHYwYXU$Rh2,IfcWallStandardCase,Basiswand:RB_W_OB_250_WU:3072195,83.215,-3.499,-4.475,83.09,-4.199,-6.0,83.34,-2.798,-2.95,0.25,1.4,3.05,IfcMaterialLayerSetUsage,0.25,False,True,RB_W_OB_250_WU
11Je14my97hBHYwYXU$Rh4,IfcWallStandardCase,Basiswand:RB_W_OB_400_WU:3072197,60.035,-4.399,-3.46,36.73,-4.599,-6.0,83.34,-4.199,-0.92,46.61,0.4,5.08,IfcMaterialLayerSetUsage,0.4,False,True,RB_W_OB_400_WU
11Je14my97hBHYwYXU$RhD,IfcWallStandardCase,Basiswand:RB_UZ_OB_400:3072204,60.035,23.508,3.44,36.73,23.308,2.53,83.34,23.708,4.35,46.61,0.4,1.82,IfcMaterialLayerSetUsage,0.4,False,True,RB_UZ_OB_400
