TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Maut_SID_Ri1;Maut_SID_Ri2;Anz_Fs_Ri1;Anz_Fs_Ri2;DTA_SV_Ri1;fA_SV_Ri1;qBm_SV_Ri1;B_anno_SV_Ri1;DTA_SV_Ri2;fA_SV_Ri2;qBm_SV_Ri2;B_anno_SV_Ri2;DTV_Bus_Ri1;DTV_LoA_Ri1;DTV_Lzg_Ri1;DTV_Sat_Ri1;DTV_Bus_Ri2;DTV_LoA_Ri2;DTV_Lzg_Ri2;DTV_Sat_Ri2;Anmerkungen;
2426;2218;AD HH-S�dost (O);2;HH;A;1;;2;L�beck;AS Hamburg-S�dost;N;Hamburg;AD Dreieck Hamburg-S�dost (A25);S;6;149,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;572.102;5.929.284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,50754848;10,08718293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;530;2426012O2426019O;0,397;Ri1_ist_VonNK;2.533;1.034;3;3;;;;;;;;;;;;;;;;;Netzmodernisierung in 2023;
    2426;2217;AD HH-S�dost (W);2;HH;A;1;;8+1;L�beck;AD Dreieck Hamburg-S�dost (A25);N;Hamburg;AK Kreuz Hamburg-S�d (A255);S;8;150,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;569.966;5.929.459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,50941419;10,05502803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520;2426019O2426001O;0,477;Ri1_ist_VonNK;3.952;2.545;4;4;;;;;;;;;;;;;;;;;Netzmodernisierung in 2023;
    4908;5675;AK Leverkusen (O);5;NW;A;1;;8+1;Dortmund;AS Burscheid;N;K�ln;AK Kreuz Leverkusen (A3);S;6;402,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;364.845;5.658.635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,06330659;7,07118583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;260;4908018A4908083A;5,101;Ri1_ist_NachNK;2.374;907;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2023;
    4908;5035;AK Leverkusen (W);5;NW;A;1;;8+1;Dortmund;AK Kreuz Leverkusen (A3);N;K�ln;AK Kreuz Leverkusen-West (A59);S;6;403,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;358.801;5.655.933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,03757536;6,98603730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;4907071A4908018A;1,613;Ri1_ist_NachNK;3.829;2.388;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2023;
    6507;0353;AS Eppelborn;10;SL;A;1;;8+1;K�ln;AS Tholey;N;Saarbr�cken;AS Eppelborn;S;5;185,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353.633;5.475.577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,41525237;6,98198701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;6507026O6507012O;5,486;Ri1_ist_VonNK;278;2.197;3;2;;;;;;;;;;;;;;;;;Baustelle in 2023;
    4111;5121;Ascheberg;5;NW;A;1;;8+1;M�nster;AS M�nster-Hiltrup;N;Dortmund;AS Ascheberg;S;4;288,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;403.168;5.743.440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,83337406;7,59466706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;340;4211021O4111030O;5,015;Ri1_ist_NachNK;7.483;7.482;2;2;;;;;;;;;;;;;;;;;Datenprobleme in 2023;
    2228;1101;Bad Oldesloe;1;SH;A;1;;8+1;L�beck;AS Reinfeld;N;Hamburg;AS Bad Oldesloe;S;6;38,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;594.121;5.961.309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,79184164;10,42880292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570;2228003O2129001O;1,083;Ri1_ist_NachNK;2.571;1.095;3;3;;;;;;;;;;;;;;;;;Z�hlstelle abgebaut in 2023;
    2130;1108;Bad Schwartau;1;SH;A;1;;8+1;Oldenburg i.H.;AS Bad Schwartau;N;L�beck;AS L�beck-Zentrum;S;6;58,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;609.762;5.972.762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,89167750;10,67022940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;590;2129003O2030001O;1,269;Ri1_ist_NachNK;2.913;1.411;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2023;
    2427;1102;Barsb�ttel;1;SH;A;1;;8+1;L�beck;AS Barsb�ttel;N;Hamburg;AK Kreuz Hamburg-Ost (A24);S;7;7,5;350;214;77;59;87.412;44.896;42.516;90.174;46.941;43.234;91.175;47.090;44.085;72.652;34.715;37.937;+0,4;+1,1;-0,5;-0,7;11.883;6.454;5.429;14.431;7.832;6.598;12.211;6.673;5.538;2.227;1.177;1.051;-4,9;-4,5;-4,7;-3,7;13,6;16,0;13,4;3,1;1,01;0,80;1,04;4.928;12,2;1.070;26,7;5.440;12,9;3.392;8,9;;;;;;;;;;;;;;;;;;D;D;D;B;D;E;17;;G;8;;E;17;;B;8;;E;16;;C;;;C;11;13;D;12;;B;12;;B;13;;82,5;9,9;0,3;1,4;2,8;10,5;9,0;0,3;2,5;80,3;10,5;0,3;1,2;3,3;12,4;10,7;0,3;2,5;82,4;10,0;0,3;1,6;2,7;10,4;8,9;0,3;2,6;92,6;6,9;0,4;1,7;0,7;2,1;1,9;0,3;2,6;578.185;5.935.581;92.739;48.117;44.622;15.491;8.339;7.152;79.295;41.486;37.808;5.983;3.646;2.337;;;;;;;;;;;;;;;;;92.435;48.085;44.350;15.849;8.535;7.314;17,1;17,7;16,5;53,56327624;10,18046539;4.252;3.957;9,5;9,3;8,0;11,1;6,3;8,7;8,8;8,9;49.147;46.057;0,72;0,87;0,94;0,97;1,07;1,01;0,82;0,84;4.723;171;529;18;3.080;52;249;11;782;53;233;2;560;2426101O2427132O;1,330;Ri1_ist_NachNK;5.756;5.759;3;4;26.853;4,16;0,32;2.841.555;23.262;4,28;0,33;2.391.188;88;1.502;4.864;4.204;164;927;4.339;3.683;;
    6307;0173;Bierfeld;10;SL;A;1;;8+1;K�ln;AS Nonnweiler-Bierfeld;N;Saarbr�cken;AD Dreieck Nonnweiler (A62);S;4;160,6;324;205;64;55;24.739;12.462;12.277;25.202;12.708;12.494;25.455;12.985;12.470;22.246;10.957;11.288;+4,0;+5,2;+0,6;+4,6;3.700;1.894;1.806;4.542;2.338;2.204;3.845;1.965;1.880;612;274;338;-2,2;-1,2;-3,0;-3,1;15,0;18,0;15,1;2,8;1,01;0,86;1,13;1.420;13,9;253;27,0;1.579;14,8;941;9,4;;;;;;;;;;;;;;;;;;C;C;D;C;D;B;8;;D;9;16;D;8;17;E;17;;E;16;;E;16;;C;11;13;D;12;;B;12;;C;16;;82,0;8,9;0,9;1,5;3,7;11,0;8,5;0,3;1,5;79,1;9,5;0,9;1,3;4,2;13,5;10,4;0,3;1,6;81,7;9,2;0,9;1,6;3,8;11,0;8,6;0,2;1,6;94,2;6,5;1,1;1,8;1,4;1,1;0,8;0,2;1,3;352.990;5.496.258;25.877;13.099;12.778;4.989;2.569;2.420;22.358;11.262;11.096;1.329;659;670;;;;;;;;;;;;;;;;;25.811;13.028;12.783;5.106;2.633;2.473;19,8;20,2;19,3;49,60100133;6,96542469;1.301;1.271;10,4;10,4;9,5;8,6;6,3;5,9;10,0;9,9;13.074;12.790;0,82;0,90;0,97;0,99;1,15;1,12;0,83;0,83;1.331;66;167;15;845;20;68;8;183;13;55;2;120;6307405O6407086O;0,752;Ri1_ist_VonNK;6.096;6.095;2;2;7.756;4,09;0,32;897.627;7.391;4,09;0,32;855.829;31;473;1.390;1.095;37;441;1.327;1.009;;
