opening_id,floor,plans,n_plans,label,type,geometry,length_cm,width_cm,diameter_cm,slab_height_cm,slab_top_m,weight_kg,pos_x_mm,pos_y_mm
U1-001,U1,0001,1,DDB39/34,Ceiling,rectangular,39,34,,30,-0.15,95.5,27481,24631
U1-002,U1,0001,1,DDB20/50,Ceiling,rectangular,20,50,,25,-0.8,60.0,10830,24693
U1-003,U1,0001,1,DDB25/55,Ceiling,rectangular,25,55,,30,-0.15,99.0,26880,24703
U1-004,U1,0001,1,DDB39/44,Ceiling,rectangular,39,44,,28,-0.155,115.3,30719,24747
U1-005,U1,0001,1,DDB10/25,Ceiling,rectangular,10,25,,28,-0.155,16.8,31693,24827
U1-006,U1,0001,1,DDB94/164,Ceiling,rectangular,94,164,,28,-0.155,1036.0,28878,24874
U1-007,U1,0001,1,DDB6/50,Ceiling,rectangular,6,50,,30,-0.15,21.6,25811,24985
U1-008,U1,0001,1,DDBØ15,Ceiling,round,,,15,30,-0.15,12.7,25033,25071
U1-009,U1,"0001, 0005",2,DDB200/50,Ceiling,rectangular,200,50,,25,-0.8,600.0,16934,26125
U1-010,U1,0001,1,DDBØ15,Ceiling,round,,,15,28,-0.155,11.9,30885,26453
U1-011,U1,0001,1,DDBØ15,Ceiling,round,,,15,28,-0.155,11.9,32686,26616
U1-012,U1,0001,1,DDB35/65,Ceiling,rectangular,35,65,,25,-0.8,136.5,15666,26799
U1-013,U1,0001,1,DDB20/50,Ceiling,rectangular,20,50,,25,-0.8,60.0,10828,27085
U1-014,U1,0001,1,DDBØ10,Ceiling,round,,,10,25,-0.8,4.7,7641,27261
U1-015,U1,0001,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,20429,36661
U1-016,U1,0001,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,30949,37526
U1-017,U1,0001,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,32177,37717
U1-018,U1,0001,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,30598,37994
U1-019,U1,0001,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,30764,40560
U1-020,U1,0001,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,30949,42794
U1-021,U1,0001,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,30475,45193
U1-022,U1,0001,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,31447,48458
U1-023,U1,0001,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,30888,50668
U1-024,U1,0001,1,DDB20/60,Ceiling,rectangular,20,60,,30,-0.15,86.4,21512,54083
U1-025,U1,0001,1,DDB60/45,Ceiling,rectangular,60,45,,30,-0.15,194.4,12995,55757
U1-026,U1,0001,1,DDB20/50,Ceiling,rectangular,20,50,,30,-0.15,72.0,21192,56253
U1-027,U1,0001,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,29103,60530
U1-028,U1,"0001, 0003",2,DDB20/135,Ceiling,rectangular,20,135,,30,-0.15,194.4,31111,62995
U1-029,U1,0001,1,DDB90/139,Ceiling,rectangular,90,139,,30,-0.15,900.7,27716,63455
U1-030,U1,0001,1,DDB114/74,Ceiling,rectangular,114,74,,30,-0.15,607.4,29108,63455
U1-031,U1,0001,1,DDB15/120,Ceiling,rectangular,15,120,,30,-0.15,129.6,26543,64373
U1-032,U1,0001,1,DDBØ15,Ceiling,round,,,15,30,-0.15,12.7,29401,64382
U1-033,U1,"0001, 0003",2,DDBØ15,Ceiling,round,,,15,30,-0.15,12.7,31262,65279
U1-034,U1,"0001, 0003",2,DDB100/6,Ceiling,rectangular,100,6,,30,-0.15,43.2,30816,65372
U1-035,U1,"0001, 0003",2,DDBØ10,Ceiling,round,,,10,30,-0.85,5.7,22199,66302
U1-036,U1,0001,1,DDBØ10,Ceiling,round,,,10,30,-0.85,5.7,17830,66325
U1-037,U1,0002,1,DDB64/114,Ceiling,rectangular,64,114,,25,-0.55,437.8,7659,29017
U1-038,U1,"0002, 0006",2,DDB84/94,Ceiling,rectangular,84,94,,25,-0.55,473.8,6698,29233
U1-039,U1,0002,1,DDB434/184,Ceiling,rectangular,434,184,,30,-0.15,5749.6,31486,30429
U1-040,U1,0002,1,DDB160/30,Ceiling,rectangular,160,30,,28,-0.155,322.6,5938,31904
U1-041,U1,"0002, 0006",2,DDB154/94,Ceiling,rectangular,154,94,,28,-0.155,972.8,7612,32224
U1-042,U1,0002,1,DDB54/54,Ceiling,rectangular,54,54,,28,-0.155,196.0,6566,32753
U1-043,U1,"0002, 0006",2,DDBØ20,Ceiling,round,,,20,28,-0.155,21.1,8597,33218
U1-044,U1,0002,1,DDB35/10,Ceiling,rectangular,35,10,,28,-0.155,23.5,6458,34430
U1-045,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,,30,-0.15,72.0,22346,35148
U1-046,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,,30,-0.15,72.0,22346,37112
U1-047,U1,0002,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,22908,40774
U1-048,U1,0002,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,9065,42294
U1-049,U1,0002,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,7632,42732
U1-050,U1,0002,1,DDBØ15,Ceiling,round,,,15,30,-0.15,12.7,22542,42821
U1-051,U1,0002,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,18376,42846
U1-052,U1,0002,1,DDBØ20,Ceiling,round,,,20,35,-0.8,26.4,11237,43964
U1-053,U1,0002,1,DDBØ20,Ceiling,round,,,20,35,-0.8,26.4,4180,46165
U1-054,U1,0002,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,14333,48813
U1-055,U1,0002,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,14333,50782
U1-056,U1,0002,1,DDBØ20,Ceiling,round,,,20,35,-0.8,26.4,4110,54494
U1-057,U1,0002,1,DDBØ20,Ceiling,round,,,20,35,-0.8,26.4,11275,54638
U1-058,U1,0002,1,DDBØ15,Ceiling,round,,,15,30,-0.15,12.7,23092,57170
U1-059,U1,0002,1,DDBØ15,Ceiling,round,,,15,40,-0.15,17.0,20533,57587
U1-060,U1,0002,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,12003,58374
U1-061,U1,0002,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,11275,58374
U1-062,U1,0002,1,DDBØ15,Ceiling,round,,,15,60,-0.15,25.4,9882,58374
U1-063,U1,0002,1,DDBØ15,Ceiling,round,,,15,60,-0.15,25.4,8784,58374
U1-064,U1,0002,1,DDBØ10,Ceiling,round,,,10,60,-0.15,11.3,10549,59034
U1-065,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,,30,-0.15,72.0,23081,59145
U1-066,U1,0002,1,DDBØ15,Ceiling,round,,,15,60,-0.15,25.4,8204,59610
U1-067,U1,0002,1,DDBØ15,Ceiling,round,,,15,28,-0.155,11.9,31431,60760
U1-068,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,,30,-0.15,72.0,22516,60781
U1-069,U1,0002,1,DDBØ10,Ceiling,round,,,10,28,-0.155,5.3,26779,61217
U1-070,U1,0002,1,DDBØ10,Ceiling,round,,,10,60,-0.15,11.3,10585,61293
U1-071,U1,0002,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,20923,61663
U1-072,U1,0002,1,DDB250/20,Ceiling,rectangular,250,20,,28,-0.155,336.0,29373,65644
U1-073,U1,0002,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,25152,66034
U1-074,U1,0002,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,22417,66034
U1-075,U1,0002,1,DDB130/140,Ceiling,rectangular,130,140,,30,-0.15,1310.4,10088,67518
U1-076,U1,0002,1,DDB100/270,Ceiling,rectangular,100,270,,30,-0.15,1944.0,12905,67656
U1-077,U1,0002,1,DDB55/100,Ceiling,rectangular,55,100,,30,-0.15,396.0,6910,67874
