opening_id,floor,plans,n_plans,label,type,geometry,length_cm,width_cm,slab_height_cm,slab_top_m,weight_kg,pos_x_mm,pos_y_mm
U1-001,U1,0001,1,DDB60/45,Ceiling,rectangular,60,45,30,-0.15,194.4,12995.0,55757.0
U1-002,U1,0001,1,DDB200/50,Ceiling,rectangular,200,50,25,-0.8,600.0,16934.0,26125.0
U1-003,U1,0001,1,DDB20/50,Ceiling,rectangular,20,50,25,-0.8,60.0,10828.0,27085.0
U1-004,U1,0001,1,DDB20/60,Ceiling,rectangular,20,60,30,-0.15,86.4,21512.0,54083.0
U1-005,U1,0001,1,DDB20/50,Ceiling,rectangular,20,50,30,-0.15,72.0,21192.0,56253.0
U1-006,U1,0001,1,DDB6/50,Ceiling,rectangular,6,50,30,-0.15,21.6,25811.0,24985.0
U1-007,U1,0001,1,DDB25/55,Ceiling,rectangular,25,55,30,-0.15,99.0,26880.0,24703.0
U1-008,U1,0001,1,DDB39/34,Ceiling,rectangular,39,34,30,-0.15,95.5,27481.0,24631.0
U1-009,U1,0001,1,DDB94/164,Ceiling,rectangular,94,164,28,-0.155,1036.0,28878.0,24874.0
U1-010,U1,0001,1,DDB39/44,Ceiling,rectangular,39,44,28,-0.155,115.3,30719.0,24747.0
U1-011,U1,0001,1,DDB10/25,Ceiling,rectangular,10,25,28,-0.155,16.8,31693.0,24827.0
U1-012,U1,0001,1,DDB114/74,Ceiling,rectangular,114,74,30,-0.15,607.4,29108.0,63455.0
U1-013,U1,0001,1,DDB90/139,Ceiling,rectangular,90,139,30,-0.15,900.7,27716.0,63455.0
U1-014,U1,0001,1,DDB15/120,Ceiling,rectangular,15,120,30,-0.15,129.6,26543.0,64373.0
U1-015,U1,0001,1,DDB20/135,Ceiling,rectangular,20,135,30,-0.15,194.4,31111.0,62995.0
U1-016,U1,0001,1,DDB100/6,Ceiling,rectangular,100,6,30,-0.15,43.2,30816.0,65372.0
U1-017,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,30,-0.15,72.0,23081.0,59145.0
U1-018,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,30,-0.15,72.0,22516.0,60781.0
U1-019,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,30,-0.15,72.0,22346.0,37112.0
U1-020,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,30,-0.15,72.0,22346.0,35148.0
U1-021,U1,0002,1,DDB434/184,Ceiling,rectangular,434,184,30,-0.15,5749.6,31486.0,30429.0
U1-022,U1,0002,1,DDB250/20,Ceiling,rectangular,250,20,28,-0.155,336.0,29373.0,65644.0
U1-023,U1,0002,1,DDB55/25,Ceiling,rectangular,55,25,28,-0.155,92.4,29123.0,68043.0
U1-024,U1,0002,1,DDB55/100,Ceiling,rectangular,55,100,30,-0.15,396.0,6910.0,67874.0
U1-025,U1,0002,1,DDB85/100,Ceiling,rectangular,85,100,30,-0.15,612.0,8984.0,67874.0
U1-026,U1,0002,1,DDB130/140,Ceiling,rectangular,130,140,30,-0.15,1310.4,10088.0,67518.0
U1-027,U1,0002,1,DDB100/270,Ceiling,rectangular,100,270,30,-0.15,1944.0,12905.0,67656.0
U1-028,U1,0002,1,DDB55/25,Ceiling,rectangular,55,25,30,-0.15,99.0,12421.0,68869.0
U1-029,U1,0002,1,DDB84/94,Ceiling,rectangular,84,94,25,-0.55,473.8,6698.0,29233.0
